Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To
Instant Action Requested From You,You have the spot reserved but we need you to complete your activation now,"March 19th, 2019",8.00AM EDT,na,activation now,"requested, immidiately, confirm, activation",Y,Y,Thanks,Y,na,B
 You've 2 Voicemail,voice message for you,"March 15th, 2019",12.08pm,fri,VoiceMessage.way,"message, ",Y,Y,Regards,Y,Office 365,B
Regarding Job,job possition apply,"March 15th, 2019",8.47AM,fri,na,"job, employment,",Y,Y,"Best regards,",Y,na,B
Ref:,most of your incoming email due to your mail session expiration ,"March 13th, 2019",1.30PM,wed,clickhere,"expiration, upgrade, re-validation, pending",Y,Y,"Best Regards,",Y,na,B
no subject,You received VM from,"March 13th, 2019",12.14PM,wed,Play Audio-26,na,na,na,na,na,na,B
"Good day,",na,"March 13th, 2019",6.00PM,wed,na,"payment, deceived",Y,Y,Thanks,Y,na,B
(Your Requested Username for jobs.kent.edu),your requested username for jons.kent,"March 12th, 2019",10.56am,tue,Display full email,request,Y,y,na,Y,na,B
Your February account statement is available.,account statement available,"March 12th, 2019",9.12pm,na,view statement,"acount, statement, access, ",Y,Y,na,Y,Paypal,B
Opcuanet - (Annual Conference Topic Suggestions),doc link,"March 12th, 2019",1.10pm,tue,display full email,"conference, education",Y,Y,na,Y,na,B
 Intuit Support: Action Required,Your bank retuned the direct deposit for the payroll,"March 12th, 2019",2.29pm,tue,na,"action, required, payroll, bank",Y,Y,na,Y,na,B
 Cc: (RE: Workshop at John Carroll University this Saturday),link for email opning,"March 12th, 2019",8.20am,tue,display full email,workshop,na,na,na,na,na,B
ATC/PTA Program,see attached below,"March 12th, 2019",2.08pm,tue,Lawsui case file: CF-416523.pdf,progran,Y,Y,na,Y,na,B
message notification,one drive ,"March 11th, 2019",3.02pm,mon,go to onedrive,"notification, file",Y,Y,na,Y,one drive,B
Lesson Coach Needed,looking for hiring coach,"March 11th, 2019",12.13pm,mon,na,"job, needed, hire, available",Y,Y,Regard,Y,na,B
INVOICE#89774-DOC,one drive message," March 11th, 2019",9.11am,mon,reqeest link,"invoice, shared",Y,Y,na,Y,na,B
Re: Correct shipment info needed.,"package, delivery address, seems incorrect","March 11th, 2019",8.11am,mon,delivery address from,"shipment, incorrect, delivery",Y,Y,na,Y,na,B
Action required: Confirm your info to keep a PayPal Balance,paymal money sending issue,"March 10th, 2019",02.00AM EST,na,confirm your info here,"required, cofirm, action, money, account",Y,Y,na,Y,na,B
You have new Google Drive Doc message,shared document,"March 9th, 2019",11.52AM,sat,view document,"file, share,docx",Y,Y,na,Y,Google Drive,B
Your Earning For March 2019.,payroll earning statement for direct deposit available,"March 8th, 2019",5.13AM,fri,na,"payroll, statement, admin",Y,Y,na,Y,na,B
1KH0/613FV1/USA,cancel surgery,"March 7th, 2019",4.38PM,thur,na,diseases,Y,Y,Yours ,Y,na,B
Call Delivery note from Trusted Source,new voice ,"March 7th, 2019",9.17am,thur,Download,"file, share,docx",Y,Y,na,Y,na,B
View Secure PDF,has sent you your important document,"March 7th, 2019",8.03am,thur,view in one drive,"secure, review",na,Y,Regards,Y,na,B
 Listen to Voicenote,voicemessage notification,"March 7th, 2019",12.42am,thur,na,notification,Y,Y,na,Y,na,B
Terms of Service.,your document has been completed," March 7th, 2019",1.41pm,wed,view complete document,"closing, attachment",na,na,na,na,na,B
Preliminary CD and Other Closing Docs Attached Closing Set for 03/08/2019,your document has been completed," March 7th, 2019",1.41pm,wed,view complete document,"closing, attachment",na,na,na,na,na,B
Notification,ms verification alert,"March 6th, 2019",9.43am,wed,na,"verification, notification, update, account, deleted,",Y,Y,Regards!,Y,na,B
Urgent Account Notice,your mailboc failed to sync,"March 5th, 2019",5.20am,tue,URL Redacted,"urgent, notice, account, failed, password, ",Y,Y,na,Y,na,B
YOUR DIPLOMATIC PACKAGE,"package deposit, realiability","March 3rd, 2019",5.22am,sun,na,"notify, package, ",Y,Y,"Thank you and I sincerely Remain,",Y,na,B
Payroll Earning Statement for March 2019,"earning statement, parroll website","March 1st, 2019",5.56am,fri,URL Redacted,"account, payroll, statement, employee",na,na,na,na,na,B
 sent you a document to review and sign,document,"February 28th, 2019",11.27am,thur,review document,"review, sign",na,na,na,na,DocuSign,B
Email Notification ( Treat Urgent ),email account recently signed," February 27th, 2019",12.43pm,fri,plick click here for verication to avoid ,notification,na,na,na,na,na,B
(Secure Message) Re: Reminder : invoice 81736265,secure email,"February 26th, 2019",15.13 EST,na,open secure email,"invoice, secure",Y,Y,Y,Y,na,B
 (Secure Email) Re: Open Invoice MR87103,secure email,"February 26th, 2019",9.47am,tue,open secure email,"secure, invoice",Y,Y,Y,Y,na,B
"[Reminder] Messages Delayed on kent.edu Email Account Today, 26 Feb 2019. Acc Id:22683aBHnH",doc attached,"February 26th, 2019",12.29pm,tue,confirm,"confirm, delay",Y,Y,Y,Y,office 365,B
 important (re: Will you be one of the 15 for KSU student-athletes?),message attached,"February 26th, 2019",4.27am,tue,open message,"important, ",Y,Y,Y,Y,na,B
Tansaction Refund from Patti,refund confirmation,"February 22nd, 2019",2.59pm,fri,get RFF receipt,"refund, transaction, confirmation, payment",Y,Y,Y,Y,na,B
" [IMPORTANCE] Password Verification on kent.edu Email Account Today, 22 Feb 2019. Acc Id:42775V65yf","one time confirmation,","February 22nd, 2019",11.26am,fri,confirm here,"verification, account, confirmation",Y,Y,Y,Y,microsoft,B
New Message from a Caller,voice message for you,"February 22nd, 2019",10.16am,fri,review audio,"message, ",Y,Y,Y,Y,na,B
Transaction for invoice 36726579,thanks for working with us,"February 21st, 2019",12.12pm,thur,link url,"transaction, payment, account, invoice",Y,Y,Y,Y,na, B
Purchasing Order #0361,this is purchasing order,"February 21st, 2019",11.53am,na,download,"purchasing, order, request",Y,Y,Thank you,Y,na,B
"Ian shared ""eVoice Message"" with you.",doc attached,"February 21st, 2019",2.30pm,thur,open,"shared, message",Y,Y,na,Y,Microsoft,B
Your incoming email delivery reports,email ,"February 20th, 2019",4.49pm,wed,na,report,Y,y,na,Y,na,B
new file,file,"February 20th, 2019",11.54am,wed,go to onedrive,review,Y,Y,na,Y,Microsoft,B
Invoice Due,file for invoice,"February 20th, 2019",11.26am,wed,go to onedrive,"review, sign",Y,Y,na,Y,Microsoft,B
Your incoming email delivery reports,file," February 19th, 2019",7.20pm,tue,na,"delivery, report",Y,Y,na,Y,na,B
Notification Release Letter,filr,"February 19th, 2019",9.10am,tue,na,"notification, required, action, delayed",Y,Y,Na,Y,office365,B
URGENT,are you at office,"February 14th, 2019",3.59Pm,thur,na,"urgent,",Y,Y,na,Y,na,B
Payment from,this is your information today,"February 14th, 2019",7.45am,thur,URL Redacted,"payment,notice, ",na,na,"Best Regards,",na,na,B
Sales Contract PO:#224906999,2 new message,"February 12th, 2019",9.32am,tue,review ,"sales, review",Y,Y,thanks,Y,na,B
new bill from Ian,your bill is here,"February 12th, 2019",2.15pm,tue,invoice connect,"bill, ",Y,Y,thank you,Y,na,B
Re: Payment Invoice,please check your ,"February 12th, 2019",2.17am EST,na,na,"invoice, payment",Y,Y,Thank you,Y,na,B
KSU Infringement,"email has been reposted , regulation","February 9th, 2019",11.21am EST,na,URL Redacted,"reported, regulations, policies",Y,Y,Sincerely,Y,na,B
We recieved your request,request to deactivate,"January 29th, 2019",2.11pm,tue,cancel,"request, cancel, deactivate, ",Y,Y,na,Y,offcie 365,B
